ID,SMILES,dockscore
ZINC000496740113,C[C@@H]1OC(=O)N[C@@H]1C(=O)N1CCCN(C(=O)c2ccccc2)CC1,-49.46
ZINC000436253182,CC[C@@H]1C[C@H]1NC(=O)Nc1ccc(N2CCCC2=O)cc1,-43.21
ZINC000195051560,CC(C)c1ccc(CCNC(=O)CS(=O)(=O)[C@H](C)CO)cc1,-22.54
ZINC000491947773,CC(C)(C)OC(=O)N1CCC(CNC(=O)NC(CO)CO)CC1,-29.11
ZINC000368386991,CN1CC[C@]2(CCN(C(=O)Nc3ccccc3OC(F)F)C2)C1,-26.33
ZINC000343749876,C[C@@H]1CCC[C@H](NC(=O)NCc2cccnc2OCC(F)F)[C@@H]1C,-33.43
ZINC000334504222,Cc1nc2ccc(NC(=O)N3CC[C@@H]3C(C)C)cc2o1,-35.59
ZINC000570453748,COc1nc(N[C@@H]2CCSc3c(F)cccc32)ccc1C(=O)O,-64.0
ZINC000456875939,COc1cccnc1CNC(=O)[C@@H]1CCCc2ccccc21,-31.9
ZINC000286510755,Cc1noc(C)c1C(C)(C)NC(=O)CC[C@@H]1CCCCO1,-35.71
ZINC000299772502,Cc1ccc([C@]2(C(=O)NCCSc3nncn3C)CC2(C)C)cc1,-48.01
ZINC000120916968,C[C@H]1CN(C)CC[C@@H]1N(C)C(=O)c1cc(Cl)ccc1Cl,-25.3
ZINC000238206360,O=C(O)c1cccc(C(=O)N2CCO[C@H](c3ccsc3)C2)c1,-67.73
ZINC000370577611,NC(=O)c1ccc(CNC(=O)[C@@H]2CN3CCC2CC3)cc1,-27.94
ZINC000273929490,CCS[C@@H](C)c1noc(-c2nnn(C)c2C)n1,-36.42
ZINC000291200896,C[C@H](OC(=O)[C@@H]1CCc2nnn(C)c2C1)c1ccccc1F,-37.43
ZINC000104289080,COC(=O)C1(NC(=O)CCc2ccncc2)CCCCC1,-32.36
ZINC000428335600,CC[C@H]1OCCC[C@@H]1C(=O)N1CCN(CCOc2ccccc2)CC1,-32.01
ZINC000373187240,C[C@@H]1CCCN(CCNC(=O)N2CC[C@@H]3CCN(C)[C@@H]3C2)C1,-11.14
ZINC000159747348,COC[C@H](C)C(=O)N[C@H]1CCN(c2ccc(Cl)c(F)c2)C1=O,-33.61
ZINC000344529005,CCC[C@@H]1[C@@H](C)CCCN1S(=O)(=O)c1ccc(N(C)C)nc1,-24.37
ZINC000155702226,C[C@H](C[C@H](O)c1cccs1)NC(=O)Nc1cnn(C)c1,-38.12
ZINC000441117361,CO[C@H]1CCCC[C@@H]1NC(=O)NC[C@@H](C)C(F)(F)F,-31.48
ZINC000356534185,Cc1ccccc1CSCCN1C(=O)NC2(CCCC2)C1=O,-35.34
ZINC000441199491,COc1ccccc1CN(C)C(=O)CN1CCC[C@H]([C@H]2CCOC2)C1,-23.08
ZINC000370051542,C[C@@H]1CN(C[C@H]2CN(C)CCO2)CCN1C(=O)Cc1ccc(F)cc1,-32.12
ZINC000565093798,CNC[C@](C)(O)CN(C)CCOc1ccccc1C,-27.63
ZINC000333229469,Cc1cc(N2CCC(N[C@@H](C)[C@H]3CCCN3)CC2)nc(C)n1,-24.05
ZINC000068003345,C[C@H](C(=O)Nc1nc2c(s1)C(=O)CCC2)n1cncn1,-33.67
ZINC000454783041,CC[C@@H]1CC[C@H](C)N(C(=O)NCCc2ccn(C)n2)C1,-28.64
ZINC000288517109,C#C[C@@H](NC(=O)C(=O)Nc1ccc2c(c1)NC(=O)CC2)C(C)(C)C,-26.83
ZINC000420780457,O=C(NCCOc1ccccc1)C(=O)N1CC[C@H](C2CCCC2)C1,-38.23
ZINC000351991155,Cc1ccc(CCC(=O)N[C@@H]2CCS(=O)(=O)[C@H]2C)s1,-30.75
ZINC000188541158,C=C[C@](C)(CC)C(=O)NCc1cc(C)cc(OC)c1,-26.31
ZINC000356527219,O=C(NCCOCC1CC1)C(=O)N1CC[C@@H](C2CC2)C1,-39.61
ZINC000440953451,CCN(CC(=O)NCCc1ccc(Cl)cc1)[C@@H]1CCNC1=O,-33.69
ZINC000225702162,CC(C)n1c2ccc(S(=O)(=O)Nc3ccccc3)cc2sc1=O,-42.64
ZINC000344232713,CC(C)(CNC(=O)Nc1ccc(Cl)cc1F)OCCO,-34.76
ZINC000332125446,C[C@H]1C[C@H](NC(=O)c2cc3cccc([N+](=O)[O-])c3[nH]2)CCN1C,-35.88
ZINC000349489467,COCCNC(=O)Cn1cc(NC(=O)N[C@H]2CC[C@@H]2C)cn1,-25.06
ZINC000494066387,COCCCC(=O)OC1CN(C(=O)OCc2ccccc2)C1,-28.33
ZINC000172162082,O=C(N[C@@H]1C[C@H]2CC[C@@H]1O2)N1CCC[C@@H]1c1nc2ccccc2s1,-20.16
ZINC000544272388,CC(C)(C)[C@@H]1CCN(C(=O)Nc2cnn(-c3ccccn3)c2)C1,-44.37
ZINC000352896204,CC[C@@H]1CN(CC(=O)NC(C)(C)CC)C[C@H](C)[S@@]1=O,-26.71
ZINC000186657321,CC(C)C[C@@H](CO)N(C)C(=O)C[C@@H](NC(N)=O)c1cccs1,-24.39
ZINC000358996351,COc1ccccc1[C@H](NC(=O)[C@@H]1CCC(C)(C)C1)c1noc(C)n1,-32.63
ZINC000349575373,C[C@@H]1CC[C@H](C)N(c2nnc(-c3cccc(S(C)(=O)=O)c3)n2C)C1,-32.96
ZINC000119980438,CCSCCN(C)[C@@H](C)CS(=O)(=O)CC,-28.84
ZINC000121781493,COC(=O)CSCc1cccc(NC(=O)C(C2CC2)C2CC2)c1,-30.51
ZINC000188679326,CC[C@]1(C)CN(C(=O)[C@H]2Oc3ccccc3O[C@H]2C)CCO1,-27.43
ZINC000459371422,c1nnc([C@H]2CCCN(CCOCC3CCCC3)C2)n1C1CC1,-22.12
ZINC000362362943,O=[N+]([O-])c1cnc2ccc(N[C@H]3CCO[C@]4(CCOC4)C3)nn21,-24.73
ZINC000364413432,O=C(NC1CCC2(CCOCC2)CC1)c1cnc(C(F)(F)F)nc1,-35.62
ZINC000531184160,CC(C)OC1CCN(C(=O)Nc2cccc(Cn3cncn3)c2)CC1,-39.34
ZINC000494874980,CCOc1ccc2c(c1)C[C@H](C(=O)N1CC[C@@H]3NCC[C@H]3C1)CO2,-24.44
ZINC000220309956,CN(C[C@@H]1COCCO1)C(=O)Cn1ccc2ccccc21,-26.06
ZINC000268657828,Cc1cc(C(=O)N[C@@H](C)CN2CCC[C@H](C)C2)nc(O)n1,-38.37
ZINC000450473131,C[C@@H]1CCN(c2ccnc3cc(F)c(Br)cc32)[C@H]1CO,-32.57
ZINC000469695106,CCOC(=O)[C@H](C)N(C[C@@H]1CCC2(CCCCC2)O1)C1CC1,-21.15
ZINC000522274936,CCO[C@H](CC)C(=O)NCC1(N(C)C)CCCCC1,-3.58
ZINC000528132852,COc1cc(-c2noc(COCC(F)F)n2)c2ccccc2n1,-25.02
ZINC000366266522,C[C@@H]1CCC[C@H](NC(=O)NC[C@@H]2CN(C3CC3)CCO2)[C@H]1C,-28.48
ZINC000537646543,COC(=O)[C@H]1CN(C(=O)c2cc(F)ccc2O)c2ccccc2O1,-57.37
ZINC000277851336,C[C@H](c1cccc(F)c1F)N1C(=O)[C@H]2C[C@H](C)CCN2C1=O,-30.57
ZINC000569865836,NCC[C@@H](NC(=O)c1scnc1C(F)(F)F)C(F)(F)F,-20.98
ZINC000128029285,Cc1ccccc1CCNC(=O)C1(N)CCOCC1,-15.93
ZINC000467220666,CN(Cc1ccc(F)cc1)C(=O)N[C@H]1COc2ccc(F)cc21,-31.6
ZINC000419996610,CC(C)CC[C@@H]1CCCCN1C(=O)C(=O)N[C@@H]1CCCCNC1,-22.73
ZINC000193753549,C[C@@H](CO)CNC(=O)NC[C@@H]1CCN(Cc2ccccc2)C1,-23.12
ZINC000369078971,C[C@H](CCNC(=O)N1CC[C@H](NC(=O)C2CCC2)C1)c1ccccc1,-28.77
ZINC000267406321,CN(C[C@H]1CCOC1)C(=O)NCc1nc2cc(Cl)ccc2s1,-37.9
ZINC000274683263,COC(=O)[C@H](NC(=O)CCc1ccsc1)c1ccc(OC)c(O)c1,-31.25
ZINC000119916822,CCn1c2ccc(C(=O)N[C@@H](C)CCC(C)(C)C)cc2[nH]c(=O)c1=O,-38.47
ZINC000284430284,Cc1c([C@@H](C)NC(=O)C(=O)N(C)CCCN2CCCC2)cnn1C,-27.61
ZINC000354351661,N#Cc1ccc(NC(=O)C(=O)N[C@H]2COC[C@@H]2n2ccnn2)cc1F,-36.27
ZINC000521981904,C[C@H](CC1CCCC1)C(=O)N[C@@H](CO)[C@H]1CCCOC1,-27.1
ZINC000187825504,CC(=O)c1ccc(CNC(=O)CC2CCC3(CC2)OCCO3)nc1C,-31.98
ZINC000336968178,C[C@@H](C(=O)N(Cc1ccccc1)C[C@H]1CCCO1)n1cnc(C#N)n1,-34.41
ZINC000184310010,COC(=O)c1coc(C(=O)N2CCCC[C@@H]2[C@@H](C)O)c1,-29.33
ZINC000344529995,C[C@H](NC(=O)N1CC[S@](=O)CC[C@H]1C)c1ccc(C#N)cc1,-32.91
ZINC000353935694,N#Cc1cc(C(=O)N2C[C@@H](F)C[C@H]2C(N)=O)cnc1C(F)(F)F,-33.55
ZINC000329598338,COC[C@H](/N=C(/O)N1CC2(CCC2)[C@@H]1[C@@H]1CCCO1)C1CC1,-24.22
ZINC000361426737,CCOCCOC[C@@H](O)CNC(=O)c1cc2c(nc1O)CCCC2,-22.59
ZINC000172213243,NC(=O)NCCCCC(=O)NCCc1ccc(Br)cc1,-35.1
ZINC000067786294,COCCNC(=O)[C@H]1CCCN(C2CCN(Cc3c[nH]cn3)CC2)C1,-31.44
ZINC000191026786,C#CCCCCC(=O)Oc1ccc(OC)c([N+](=O)[O-])c1,-41.77
ZINC000494843073,CCCN(CCN1CCCCCC1)C(=O)c1cnc(N(C)C)cn1,-17.7
ZINC000262756066,COc1ccc(Cl)c(S(=O)(=O)N2CCCC[C@H]2CN)c1,-18.43
ZINC000428511633,COCC[C@H](NC(=O)C(C1CC1)C1CC1)C(=O)OC,-19.51
ZINC000295732572,CCOC[C@H](C)CS(=O)(=O)NCC[C@@H](C)c1ccccc1,-30.06
ZINC000280813570,O=C(CO[C@@H]1CCCc2ccccc21)NCC1(O)CCCC1,-27.4
ZINC000337855632,COc1c(C)cc(C)cc1S(=O)(=O)Nc1c(F)cccc1CO,-34.34
ZINC000362113544,C[C@@H](CC(F)(F)F)NC(=O)N[C@H]1CCN(c2ccccc2)C1=O,-25.55
ZINC000365994023,COc1cccc(N2C[C@@H](NC(=O)c3cccc(CO)c3)CC2=O)c1,-39.95
ZINC000357751306,Cc1cccc([C@H](C)CNC(=O)C(=O)N2CCC[C@H]2C[C@@H](C)O)c1,-31.76
ZINC000486982451,C(=C/c1ccncc1)\CNC1CCN(CCc2ccccc2)CC1,-19.31
ZINC000291167853,CCc1n[nH]c(=O)c(C(=O)N2C[C@@H](C)S(=O)(=O)[C@H](C)C2)c1CC,-35.96
ZINC000295511635,CC(=O)C1(C(=O)NCc2ccc3c(n2)CCCC3)CC1,-40.58
ZINC000411763663,CCC[C@H](O)[C@@H](CO)NC(=O)C(=O)Nc1cnc2ccccc2c1,-31.15
ZINC000227059484,CCOC(=O)c1ccc(N[C@@H](C)[C@@H](CO)SC)nc1,-38.35
ZINC000076948197,C[C@H]1C[C@@H]1c1ccc(CN(CC(=O)Nc2nncs2)C2CC2)o1,-22.48
ZINC000281392593,CCCc1cc(NC(=O)c2ccoc2C2CC2)n(C)n1,-36.99
ZINC000563140270,CC(C)N(CC(=O)O)C(=O)[C@H]1CCc2cc(Br)ccc21,-56.07
ZINC000274004234,CC(C)[C@@H](CCO)NCC(=O)N1CCc2ccccc2C1,-18.05
ZINC000274954238,Cc1c(CC(=O)NC(C)(CO)CO)nnn1-c1ccccc1,-35.4
ZINC000458821401,Cc1cc(CCNC(=O)NC[C@@H](C)CCCO)ccc1Cl,-33.34
ZINC000556642043,CC(C)[C@@H]1C[C@H]1CNC(=O)N1CCS(=O)(=O)[C@H]2CCC[C@H]21,-31.17
ZINC000014167063,O=C(NC[C@@H]1COc2ccccc2O1)c1cnn(Cc2ccccc2)c1,-42.13
ZINC000352730183,CN(C)Cc1cnc(CN[C@H]2CCC[C@@H]2CCO)s1,-9.67
ZINC000085469597,O=C(CC(c1ccccc1)c1ccccc1)N1CCOC[C@@H]1CO,-35.51
ZINC000131230309,COC(=O)[C@@](C)(NC(=O)c1cccc2c1oc(=O)n2C)C1CC1,-25.73
ZINC000173628543,Cc1cccc(C)c1NC(=O)[C@@H](C)N[C@@H](C)c1nnc2n1CCCC2,-29.68
ZINC000264167634,C=CCN/C(=N/CC)NCc1ccc(OCCCN(C)C)cc1,-7.29
ZINC000329758626,CC/N=C(/O)N1CC[C@H](/N=C(/O)N[C@]2(C)CCO[C@@H]2C)C1,-36.36
ZINC000075157734,CC(C)(C)[C@@H](O)CCNC(=O)c1ccccc1Cl,-26.03
ZINC000582523593,Cc1cnc([C@@H](C2CC2)N2C(=O)N(C)C(C)(C)C2=O)s1,-25.46
ZINC000106922218,CCCCOC(=O)CNC(=O)CNC(=O)c1cccc(F)c1,-31.22
ZINC000577213176,COC(C)(C)C[C@H](C)NC(=O)N(C)[C@H](C)C(=O)O,-31.8
ZINC000359364142,COC(=O)c1[nH]c(C)c(C(=O)N2CCC(F)(C#N)CC2)c1C,-28.52
ZINC000408422896,Cc1sc2ncnc(N[C@H]3C(=O)NCC[C@H]3C)c2c1C,-42.53
ZINC000132457279,CN(C)C(=O)Cc1nc(CN(C)Cc2cccnc2)cs1,-34.94
ZINC000049048060,COc1cccc(C(=O)N(C)Cc2cscn2)c1OC,-20.35
ZINC000376032781,Clc1cccc(CN2CC[C@H]3OCC[C@H]3C2)n1,-29.29
ZINC000187171767,CC[C@]1(CO)CCCN(C(=O)c2ccc(-n3ccnn3)cc2)C1,-38.48
ZINC000421110767,CC[C@H]1CN(C(=O)Nc2ccc3c(C)nn(C)c3c2)C[C@H](CC)O1,-30.5
ZINC000188446642,CCN(C)C(=O)[C@@H](C)NS(=O)(=O)c1cccc2ncccc21,-23.22
ZINC000305786063,Cc1cc(C(=O)N(C)C[C@@H]2CCC[C@H]2O)nn1-c1cccc(F)c1,-38.57
ZINC000356030179,COc1cc(-c2noc(C[C@H]3CCCO3)n2)cc(Cl)c1OC,-28.06
ZINC000048664442,COc1c(F)cc(NC(=O)CSc2nncs2)cc1F,-38.78
ZINC000496600595,C[C@H](C(=O)NCCc1nc(N)no1)N(C(=O)OC(C)(C)C)C1CC1,-24.99
ZINC000268762350,COc1ccc2c(c1)CCC[C@@H]2NC(=O)Cc1ccco1,-31.0
ZINC000263645986,CCC[C@@H](C)N(C)C(=O)c1cn(-c2ccccc2)nc1C,-52.69
ZINC000362205230,COC[C@](C)(NC(=O)[C@@H](C)n1cccn1)C(F)(F)F,-28.55
ZINC000371037476,Cc1nc(C)n(C[C@@H]2CCCCN2C(=O)[C@H](C)OCCC(C)C)n1,-33.79
ZINC000116823297,COCCOC1CCN(C(=O)c2cc(C)c(C)s2)CC1,-31.02
ZINC000081411368,CCOC(=O)C1(C(=O)N[C@H]2CCC[C@H](SC)C2)CC1,-30.15
ZINC000354816075,CC[C@@H](CC(F)(F)F)NC(=O)CCn1c(C)csc1=O,-31.8
ZINC000348392433,CCN(CC)C(=O)c1cccc(NC(=O)NCc2ncc(C)o2)c1,-36.36
ZINC000107334948,CCc1nc(CCNC(=O)NCCc2c(C)noc2C)sc1C,-28.79
ZINC000516139540,CC[C@@H](CSC)NC(=O)C(=O)Nc1nc2c(s1)CCC2,-33.58
ZINC000073843018,CN(C)c1cccc(C(=O)N2CCC[C@H]2c2ccc[nH]2)c1,-33.68
ZINC000376580642,O=C(c1ccc([N+](=O)[O-])c(O)c1)N1CCC[C@@H](C[C@@H]2CCOC2)C1,-73.74
ZINC000279973786,Cc1ccc([C@@H](NCC2CCS(=O)(=O)CC2)c2ccccn2)cc1,-19.39
ZINC000358525844,CCCN(CCN1CCN(CC)CC1)C(=O)NC[C@H]1CCCOC1,-16.78
ZINC000362055604,CCN1CCOC[C@H]1C(=O)N(C)Cc1ccccc1Br,-29.24
ZINC000458624684,CO[C@H]1CCN(C(=O)NCc2ccccc2N2CCCCC2)C[C@@H]1C,-28.26
ZINC000121041072,C[C@](C#N)(NC(=O)COc1ccc(C=O)cc1Cl)C1CC1,-28.71
ZINC000366682591,COc1cc(NC(=O)[C@@H]2CCn3cncc3C2)ccc1O,-31.42
ZINC000069570008,C[C@@H](C(=O)N1CCCC1)N1CCCN(c2nc3ccccc3[nH]2)CC1,-23.48
ZINC000417364227,CC(C)N(C(=O)Nc1ccc(C(=O)N(C)C)cc1F)[C@H]1CCOC1,-49.88
